"X","Y","dapi","gfp","rfp","gfp_normalized","rfp_normalized","type"
24.4375,536,9878.25,1347,7593,0.136360185255486,0.768658416217447,"01"
24.1666666666667,638,9024.83333333333,2965,6217.5,0.328537923138008,0.688932390256514,"11"
25.2307692307692,492.884615384615,10330.6923076923,1337.38461538462,7440.46153846154,0.129457404746126,0.720228743326458,"01"
24.5,703,9683.8,1885.1,4962.7,0.194665317334104,0.512474441851339,"01"
26.0909090909091,514.969696969697,9054.69696969697,1568.78787878788,9021.9696969697,0.173256806278342,0.996385602650558,"01"
25.6585365853659,546,10613.5365853659,2147.39024390244,5500.65853658537,0.202325608116648,0.518268203283887,"01"
25.32,607.92,11834.72,3824.08,6495.72,0.323123825489745,0.54886976624711,"11"
25.5333333333333,658.066666666667,9194.6,4107.7,4635,0.446751354055641,0.504100232745307,"11"
26.3235294117647,693.794117647059,9575.67647058824,1682.17647058824,5334.73529411765,0.175671815537529,0.557113151274829,"01"
27.1794871794872,505.358974358974,9272.23076923077,1326.92307692308,9115.92307692308,0.143107210114569,0.983142385452011,"01"
26.9811320754717,559.566037735849,14198.0377358491,1515.98113207547,7150.69811320755,0.10677398949629,0.503639886457868,"01"
28.8214285714286,463.526785714286,13139.1964285714,1502.57142857143,6633.0625,0.1143579393717,0.504830149702023,"01"
27.9186046511628,595.255813953488,11879.0813953488,3827.94186046512,6133.22093023256,0.322242245260136,0.51630431058701,"11"
27.7525773195876,619.061855670103,13680.8762886598,4042.35051546392,7225.25773195876,0.295474531760415,0.528128285024246,"11"
27.3260869565217,627.347826086957,11043.7826086957,2938.86956521739,6473.19565217391,0.266110776474664,0.58613935836414,"11"
28.8769230769231,477.546153846154,11525.8384615385,1399.79230769231,6789.24615384615,0.121448197661575,0.589045749383158,"01"
29.6413043478261,649.652173913043,11139.9456521739,3459.17391304348,5172.45652173913,0.310519819490182,0.46431613611416,"10"
29.25,688.571428571429,8837.35714285714,4348.85714285714,5976.03571428571,0.492099286308932,0.676224307525682,"11"
