"X","Y","area","perimeter","eccentricity","dapi","NANOG","GATA6","gfp_normalized","rfp_normalized"
4.42528735632184,2364.20689655172,87,33.556349186104,0.606829809057927,10205.2413793103,594.666666666667,4322.8275862069,0.0582707105656773,0.423588960371952
5.46601941747573,2404.52427184466,103,36.3847763108502,0.351227617747185,7892.72815533981,662.31067961165,3037.93203883495,0.0839140366393546,0.384902657109715
4.87939698492462,2313.71859296482,199,61.0416305603426,0.885358478919187,16020,1077.44221105528,5977.54773869347,0.0672560681058225,0.373130320767382
5.42253521126761,2634.98591549296,71,30.3847763108502,0.412182598427126,9787.05633802817,722.535211267606,3587.02816901408,0.0738255902809258,0.366507358813955
9.38888888888889,1883.33333333333,18,13.8994949366117,0.692547813784615,8705.16666666667,699.611111111111,2743.61111111111,0.0803673425105142,0.315170428800266
8.66666666666667,1953.33333333333,9,6.24264068711929,0.877058019307029,9869.66666666667,1300.88888888889,3289.77777777778,0.131806770463936,0.333322075495063
9.51851851851852,1971.37037037037,27,17.8994949366117,0.758593444088959,8588.7037037037,920.962962962963,3117.37037037037,0.107229565104897,0.362961685245477
9.1875,2038.625,16,14.0710678118655,0.810472820459088,10302.5,713.25,4262.6875,0.0692307692307692,0.413752729919922
9.1875,2101.625,16,14.0710678118655,0.810472820459088,8543.5,723.6875,3539.6875,0.0847062093989583,0.414313513197167
9.52777777777778,2181.77777777778,36,22.6923881554251,0.429213560847027,10586.6666666667,796.166666666667,3986.55555555556,0.0752046599496222,0.376563811922754
14.2604166666667,1850.9375,192,56.6274169979695,0.593101636991213,8557.63020833333,589.348958333333,2854.19791666667,0.0688682431918396,0.333526671190732
10.25,1926.36111111111,36,22.556349186104,0.503663001631241,8781.80555555555,874.027777777778,3020.91666666667,0.0995271157222161,0.343997216467127
10.3375,1937.3625,80,35.556349186104,0.819295195652899,9043.3,739.0375,3294.725,0.0817221036568509,0.364327734344764
12.2131147540984,2049.44262295082,61,29.142135623731,0.605214844333769,9905.4262295082,785.72131147541,3669.54098360656,0.0793223121620705,0.370457656095103
18.4404761904762,2064.86607142857,336,100.01828996323,0.676668424462767,10190.2113095238,1092.38095238095,3681.05357142857,0.107199048106099,0.361234272736645
11.3805309734513,2087.56637168142,113,40.0416305603426,0.625435309602663,8910.74336283186,620.194690265487,3529.50442477876,0.0696007802056581,0.396095396429089
12.4285714285714,2135.60571428571,175,54.0416305603426,0.858777169163934,8386.98857142857,700.822857142857,3564.16571428571,0.0835607263768436,0.424963702278972
16.4404761904762,2149.66666666667,168,52.9055915910215,0.824291489454139,9048.51785714286,842.428571428571,3188.24404761905,0.093101277438886,0.35234986524365
10.4193548387097,2173.62903225806,62,30.9705627484771,0.646763788794438,9999.58064516129,1271.48387096774,3578.32258064516,0.127153719349521,0.357847264562707
13.4230769230769,2202.30769230769,104,39.3137084989848,0.855781957509656,10098.7980769231,2577.24038461538,4000.90384615385,0.255202685011069,0.396176239556307
9.76119402985075,2225.86567164179,67,31.556349186104,0.828594760496292,11213.5970149254,2411.4776119403,3960.17910447761,0.215049426935051,0.353158678629755
11.9140726329442,1977.73281452659,3084,1326.25901807805,0.999509691268772,9110.68190661478,892.124513618677,3211.13521400778,0.0979207179839033,0.352458273367699
8.64356435643564,2389.0297029703,101,38.9705627484771,0.83973632953707,8360,697.881188118812,4625.58415841584,0.0834786110189966,0.553299540480364
5.00632911392405,2443.88607594937,158,52.9705627484771,0.663720060323161,10429.0316455696,631.715189873418,3378.94303797468,0.0605727560661663,0.323993938536959
10.030303030303,1869.98484848485,66,30.9705627484771,0.78035080430208,9381.27272727273,464.045454545455,2618.86363636364,0.0494650851793709,0.279158672015815
13.2209944751381,1915.51933701657,181,53.3553390593274,0.812790853154946,9388.7182320442,1096.07182320442,2983.5138121547,0.116743499603968,0.317776477940493
14.9010416666667,1985.63020833333,192,63.5979797464467,0.686570721433283,10191.28125,1060.203125,3706.14583333333,0.104030405892292,0.363658478499289
9.94827586206897,2115.43103448276,58,28.3847763108502,0.65208965040542,8797.93103448276,560.258620689655,4557.01724137931,0.0636807243082229,0.517964646860547
15.0631067961165,2251.41262135922,206,64.254833995939,0.732506481094527,11209.9854368932,1670.26699029126,4384.17961165049,0.148998140960491,0.391095923927047
7.87142857142857,2297.7,140,63.2487373415292,0.920756707184739,13535.55,991.007142857143,7273.66428571429,0.0732151366480965,0.537374859958722
11.2616822429907,2425.51869158879,214,57.698484809835,0.73976752013059,11480.2710280374,559.663551401869,3299.05140186916,0.0487500295101959,0.287367031127762
15.207182320442,2022.3453038674,362,84.4264068711929,0.84122827530919,9966.95856353591,855.701657458564,3913.44475138122,0.0858538391630467,0.392641820113364
15.3692946058091,2274.82987551867,241,67.4264068711929,0.712729829856867,12269.8340248963,1206.377593361,4397.00829875519,0.0983206122359259,0.358359232067311
10.1590909090909,2490.77272727273,88,34.0416305603426,0.363129962669818,8769.35227272727,486.454545454545,3447.23863636364,0.0554721181594474,0.393100713616508
7.9060773480663,2658.90055248619,543,128.911688245431,0.749808846734712,11478.8987108656,1256.42173112339,3868.67034990792,0.109454901795945,0.337024521894767
9.7027027027027,2677.26351351351,148,48.8700576850888,0.813818935283323,10292.8986486486,1184.91891891892,3996.85810810811,0.115120041435022,0.388312198977385
13.2777777777778,2289.59259259259,108,38.6274169979695,0.48258751733502,13594.787037037,1235.34259259259,5827.87962962963,0.0908688447437301,0.428684878531191
11.3196721311475,2326.70491803279,244,72.1837661840736,0.886534986500801,14739.4098360656,1038.1393442623,6357.83606557377,0.0704328976403175,0.431349432323736
