X,Y,dapi,gfp,rfp
24.4375,536,9878.25,1347,7593
24.16666667,638,9024.833333,2965,6217.5
25.23076923,492.8846154,10330.69231,1337.384615,7440.461538
24.5,703,9683.8,1885.1,4962.7
26.09090909,514.969697,9054.69697,1568.787879,9021.969697
25.65853659,546,10613.53659,2147.390244,5500.658537
25.32,607.92,11834.72,3824.08,6495.72
25.53333333,658.0666667,9194.6,4107.7,4635
26.32352941,693.7941176,9575.676471,1682.176471,5334.735294
27.17948718,505.3589744,9272.230769,1326.923077,9115.923077
26.98113208,559.5660377,14198.03774,1515.981132,7150.698113
28.82142857,463.5267857,13139.19643,1502.571429,6633.0625
27.91860465,595.255814,11879.0814,3827.94186,6133.22093
27.75257732,619.0618557,13680.87629,4042.350515,7225.257732
27.32608696,627.3478261,11043.78261,2938.869565,6473.195652
28.87692308,477.5461538,11525.83846,1399.792308,6789.246154
29.64130435,649.6521739,11139.94565,3459.173913,5172.456522
29.25,688.5714286,8837.357143,4348.857143,5976.035714
30,68,8206.285714,1271.857143,7477
30,87.5,9857.333333,1485.666667,10186.33333
30.3,306,9338.7,2725.5,7774.4
30.2,408.1,9259.1,1345.4,4407.3
29.23809524,643.5238095,10298.85714,1981.619048,6754.285714
29.2,708.3272727,11873.72727,2933.636364,5624.909091
31.21428571,27.35714286,10308.60714,1410.607143,9953.642857
30.66666667,357.6,10956.46667,2501.933333,5893.066667
31.3974359,568.0384615,11044.91026,1485.666667,5949.128205
30.92682927,606.6341463,10713.17073,3854.317073,5650.243902
32.20454545,108.8181818,12444.22727,1443.5,7395.204545
32,431.3529412,12564.52941,1279.5,4176.823529
31.5,436.9,12347.25,1135.65,3791.6
32.74509804,333.5490196,11411.39216,3138.784314,6896.372549
31.80487805,636.6341463,12477.04878,3166.073171,6003.902439
33.75925926,641.1481481,11176.48148,2535.685185,5880.185185
33.8115942,230.5072464,16446.91304,1682.826087,6207.42029
29.78195489,578.4962406,12036.99248,2809.142857,7502.413534
34.18518519,613.4074074,11307.11111,2843.222222,6621.314815
35.6969697,631.030303,11978.87879,3805.424242,5963.434343
35.88888889,80.22222222,8940.688889,2144.444444,4592.2
33.51785714,96.73214286,10577,1480.089286,7025.464286
35.14285714,119.2653061,9446.408163,1329.163265,8618.897959
35.60824742,259.3195876,12572.02062,4252.835052,7619.030928
35.28395062,267.0740741,13055.39506,4135.024691,7245.604938
32.62626263,345.2020202,11482.18182,3326.080808,5854.626263
33.63076923,367.5846154,11462.4,3606.292308,5362.215385
35.28735632,390.862069,13057.95402,1931.425287,5126.643678
35.83333333,43.3,9256.4,1325.666667,4675.733333
36.72477064,149.1100917,11835.54128,1288.577982,5064.59633
34.60824742,489.5360825,9723.845361,1516.731959,11560.71134
35.6875,551.96875,10965.1875,1290.71875,4017.5625
36.45132743,587.7345133,10811.40708,2342.39823,5852.752212
35.58064516,600.2580645,9220.967742,2762,5057.354839
37.51724138,2.672413793,10384.77586,2106.810345,5834.137931
37.03333333,38.4,9330.866667,1340.666667,4847.933333
37.5,222,13822.3,3385.4,7244.1
37.62264151,224.9622642,15764.30189,2608.150943,6667.415094
38.32258065,234.4516129,14095.29032,1773.129032,7106.096774
39.80722892,347.2771084,12969.56627,2786.807229,6394.939759
37.44285714,532.8285714,9967.085714,1527.8,3873.4
37.56410256,575.2820513,10785.4359,2281.307692,5560.025641
37.50684932,216.630137,15074.08219,4596.767123,6861.130137
38.79166667,334,10278.70833,1499.125,5791.125
37.6741573,440.4719101,10994.03371,1291.988764,5077.235955
36.80645161,562.0967742,11855.87097,1439.967742,5367.548387
39.51219512,304.2926829,10917.12195,2329.243902,6706.853659
41.38636364,366.5227273,10860.54545,2120.840909,5656.159091
39.32142857,423.75,9090.571429,4724.464286,4258.464286
38.30263158,460.4210526,11355.82895,1330.25,6692.368421
39.29411765,606.1764706,10052.29412,5009.294118,5168.970588
40.29411765,646.7647059,9210.794118,2683.794118,5042.558824
38.23684211,695.9473684,9888.578947,2430.526316,4806.657895
40.34090909,60.27272727,9355.5,1325.522727,10387.81818
40.38709677,102.0752688,10828.63441,1242.075269,6355.258065
39.41666667,158.4166667,10020.86667,1245.55,6617.05
39.8,179.9666667,8836.866667,1730.1,11139.16667
39,360.0652174,12868.19565,1862.717391,5211.413043
40.015625,405.0078125,10782.10938,2129.882813,4736.882813
39.0375,518.3,9741.6375,1278,3842.625
40.93617021,354.893617,13088.19149,1844.893617,6767.531915
40.6,540.2833333,9824.55,1301.566667,4984.75
40.95348837,656.627907,9088.27907,2139.046512,4688.023256
41.23684211,675.7631579,8924.263158,2129.526316,4753.894737
41.42592593,705.2222222,12774.12963,1484.37037,4835.425926
42.08928571,19.92857143,9230.875,2111.714286,4207.928571
42.97058824,452.7352941,9881.647059,1273,9899.588235
41.27941176,567,10924.92647,1462.588235,5942.397059
44.91666667,162.8888889,9631.555556,1146.083333,4911.472222
43.9375,275.6875,12850.65625,1751.25,6493.09375
43,341.6956522,10112.95652,2137.478261,5654.565217
42.375,505.3125,11502.71875,1308.9375,4653.15625
42.17142857,618.0285714,10344.62857,1640.942857,6641.114286
44.02173913,116.8913043,10119.76087,1127.869565,5078.673913
